feature,mean_abs_shap
yield_10y_level,0.36138349699217354
yield_10y_chg_6m,0.17745719521070275
term_spread_chg_6m,0.16286538602968148
vix_chg_3m,0.14606488007664217
curve_inverted,0.13999701541447415
credit_spread_chg_12m,0.12888476562846052
credit_spread_vol_3m,0.08635703833286353
credit_spread_chg_6m,0.06475475580030968
yield_10y_vol_12m,0.05641137530414048
yield_10y_vol_3m,0.054975907129061516
cpi_yoy,0.054800449977467275
yield_10y_pct_chg_6m,0.04950846874125171
yield_2y_chg_3m,0.04089473617364553
yield_2y_chg_6m,0.03529824281795792
vix_above_30,0.026005457388900817
unemployment_chg_3m,0.021691464714209376
sp500_return_12m,0.020231486460699197
yield_10y_pct_chg_3m,0.019846169394019206
credit_spread_vol_6m,0.009689061561785159
unemployment_chg_6m,0.0020990296595541492
